"hsap_ensembl_gid","hsap_gene_name","control_1","control_2","control_3","control_4","conditioned_1","conditioned_2","conditioned_3","conditioned_4"
"ENSG00000000003","TSPAN6",0.362978559772769,0.197338433107202,0.421017681550639,0.291252907407946,0.224257738154563,0.0488418400243581,0.500298411037579,0.222459152632538
"ENSG00000000005","TNMD",0,0,0,0,0,0,0,0
"ENSG00000000419","DPM1",52.0874233273924,45.5851780477636,43.7858388812664,39.8600407566875,39.7897301125668,40.6852527402903,43.1257230314393,48.6629396383678
"ENSG00000000457","SCYL3",18.0884315620097,16.1028161415477,17.4301320161964,18.0576802592927,18.6454290865651,17.7784297688664,23.1638164310399,20.5774716185098
"ENSG00000000460","C1orf112",16.0315530566306,16.4185576345192,16.1670789715445,17.9328575846893,19.0619077431379,20.7089401703278,21.913070403446,22.0234561106213
"ENSG00000000938","FGR",0.12099285325759,0.236806119728642,0.168407072620256,0.124822674603406,0.0961104592090986,0.244209200121791,0,0.0556147881581346
"ENSG00000000971","CFH",0,0,0,0,0.0320368197363662,0.244209200121791,0,0.111229576316269
"ENSG00000001036","FUCA2",20.0848136407599,17.6025882331624,19.3668133513294,20.4293110767574,16.0824835076558,16.8992766484279,17.2102653396927,18.2972653040263
"ENSG00000001084","GCLC",87.1753507720934,84.342446310018,85.7191999637101,94.782017582186,74.6137531659969,78.0004185188999,97.958428881158,89.5398089345967
"ENSG00000001167","NFYA",56.8061446044384,70.2524821861638,59.952917852811,58.3754041561927,44.2428480559217,42.4435589811672,46.8279312731174,45.882200230461
"ENSG00000001460","STPG1",23.2306278254572,21.9045660748994,23.071768948975,22.6761192196187,22.2015160773018,23.053348491497,25.6152786451241,22.3571448395701
"ENSG00000001461","NIPAL3",217.605646583775,211.467864917677,209.666805412218,228.051026500422,211.475047079753,207.431294583449,229.38682146073,208.444226016688
"ENSG00000001497","LAS1L",31.2161561404581,29.8770387724303,36.2917241496651,29.9158343466162,34.1832866587027,35.2638084975866,27.5664424481706,31.8672736146111
"ENSG00000001561","ENPP4",51.3614662078468,56.6361303017669,43.2806176634057,50.3035378651725,40.8789819836033,39.1711556995352,63.6879877250838,51.1656051054838
"ENSG00000001617","SEMA3F",0.181489279886385,0.315741492971523,0,0.0832151164022704,0.384441836836395,0.390734720194865,0.100059682207516,0.0556147881581346
