"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000000003","TSPAN6",2048,2170,2559,2793
"ENSG00000000005","TNMD",0,0,0,0
"ENSG00000000419","DPM1",1070,1002,1014,1167
"ENSG00000000457","SCYL3",418,424,348,432
"ENSG00000000460","C1orf112",212,237,252,299
"ENSG00000000938","FGR",1,2,1,1
"ENSG00000000971","CFH",22,30,0,1
"ENSG00000001036","FUCA2",6888,6875,3758,4157
"ENSG00000001084","GCLC",2811,2877,2769,3162
"ENSG00000001167","NFYA",1640,1583,2202,2368
"ENSG00000001460","STPG1",212,228,387,457
"ENSG00000001461","NIPAL3",3237,3331,2339,2349
"ENSG00000001497","LAS1L",1322,1307,1490,1526
"ENSG00000001561","ENPP4",0,0,0,0
"ENSG00000001617","SEMA3F",196,169,137,161
"ENSG00000001626","CFTR",14,7,0,0
"ENSG00000001629","ANKIB1",4042,4127,5510,5957
"ENSG00000001630","CYP51A1",135,145,257,266
"ENSG00000001631","KRIT1",1512,1526,1481,1574
"ENSG00000002016","RAD52",560,561,634,652
"ENSG00000002079","MYH16",7,3,2,10
"ENSG00000002330","BAD",518,527,674,680
"ENSG00000002549","LAP3",1314,1428,1770,1816
"ENSG00000002586","CD99",18899,19105,16982,17677
"ENSG00000002587","HS3ST1",0,0,2,1
"ENSG00000002726","AOC1",0,0,0,0
"ENSG00000002745","WNT16",3,2,4,1
"ENSG00000002746","HECW1",23,7,60,52
"ENSG00000002822","MAD1L1",800,767,1128,1055
"ENSG00000002834","LASP1",15268,15732,18559,19906
"ENSG00000002919","SNX11",649,666,703,782
"ENSG00000002933","TMEM176A",0,0,4,0
"ENSG00000003056","M6PR",2658,2663,2434,2585
"ENSG00000003096","KLHL13",3,1,4,6
"ENSG00000003137","CYP26B1",89,93,4,9
"ENSG00000003147","ICA1",87,71,12,24
"ENSG00000003249","DBNDD1",30,24,28,34
"ENSG00000003393","ALS2",1360,1398,2223,2244
"ENSG00000003400","CASP10",219,243,267,218
"ENSG00000003402","CFLAR",4623,4698,4711,5368
"ENSG00000003436","TFPI",21030,21330,4893,5451
"ENSG00000003509","NDUFAF7",818,782,664,756
"ENSG00000003756","RBM5",7222,7154,5137,5598
"ENSG00000003987","MTMR7",43,36,59,86
"ENSG00000003989","SLC7A2",241,234,762,798
"ENSG00000004059","ARF5",2043,2199,3204,3380
"ENSG00000004139","SARM1",374,437,425,468
"ENSG00000004142","POLDIP2",3302,3345,3814,3888
"ENSG00000004399","PLXND1",7283,7192,8791,8835
"ENSG00000004455","AK2",2614,2651,2727,2878
"ENSG00000004468","CD38",2,0,1,0
"ENSG00000004478","FKBP4",2200,2123,2594,2748
"ENSG00000004487","KDM1A",4779,5149,5207,5611
"ENSG00000004534","RBM6",5579,5711,4775,5123
"ENSG00000004660","CAMKK1",497,510,1377,1399
"ENSG00000004700","RECQL",2576,2605,2990,3423
"ENSG00000004766","CCDC132",886,947,1047,1168
"ENSG00000004776","HSPB6",26387,25925,2727,2664
"ENSG00000004777","ARHGAP33",307,299,413,357
"ENSG00000004779","NDUFAB1",840,832,766,782
"ENSG00000004799","PDK4",758,825,93,88
"ENSG00000004809","SLC22A16",0,0,0,0
"ENSG00000004838","ZMYND10",51,48,27,19
"ENSG00000004846","ABCB5",1,2,3,4
"ENSG00000004848","ARX",0,0,0,0
"ENSG00000004864","SLC25A13",437,436,632,797
"ENSG00000004866","ST7",1230,1141,1001,1163
"ENSG00000004897","CDC27",4401,4259,3977,4347
"ENSG00000004939","SLC4A1",4,0,0,0
"ENSG00000004948","CALCR",0,0,0,0
"ENSG00000004961","HCCS",1072,1072,1081,1173
"ENSG00000004975","DVL2",1763,1897,2354,2223
"ENSG00000005001","PRSS22",0,0,4,5
"ENSG00000005007","UPF1",4441,4313,4986,4953
"ENSG00000005020","SKAP2",850,800,1694,1879
"ENSG00000005022","SLC25A5",4551,4622,4777,4965
"ENSG00000005059","CCDC109B",142,171,272,304
"ENSG00000005073","HOXA11",3652,3741,1082,1195
"ENSG00000005075","POLR2J",481,470,712,749
"ENSG00000005100","DHX33",1285,1323,1462,1557
"ENSG00000005102","MEOX1",0,0,42,54
"ENSG00000005108","THSD7A",23,12,7,14
"ENSG00000005156","LIG3",1152,1164,1627,1621
"ENSG00000005175","RPAP3",1197,1142,1187,1292
"ENSG00000005187","ACSM3",34,36,2,11
"ENSG00000005189","AC004381.6",115,119,122,138
"ENSG00000005194","CIAPIN1",1293,1304,1359,1349
"ENSG00000005206","SPPL2B",2869,2847,2334,2096
"ENSG00000005238","FAM214B",1319,1325,2009,2243
"ENSG00000005243","COPZ2",3389,3363,1395,1560
"ENSG00000005249","PRKAR2B",319,347,377,453
"ENSG00000005302","MSL3",1344,1422,1904,2040
"ENSG00000005339","CREBBP",6145,6226,5608,5803
"ENSG00000005379","BZRAP1",725,615,141,114
"ENSG00000005381","MPO",0,0,0,0
"ENSG00000005421","PON1",0,0,0,0
"ENSG00000005436","GCFC2",1296,1303,492,523
"ENSG00000005448","WDR54",421,436,615,656
"ENSG00000005469","CROT",395,412,1701,1610
"ENSG00000005471","ABCB4",14,6,18,33
"ENSG00000005483","KMT2E",3267,3225,7972,8418
"ENSG00000005486","RHBDD2",2663,2635,3650,3644
"ENSG00000005513","SOX8",0,1,9,16
"ENSG00000005700","IBTK",4216,4262,4096,4647
"ENSG00000005801","ZNF195",464,436,391,446
"ENSG00000005810","MYCBP2",5783,5726,5576,6175
"ENSG00000005812","FBXL3",1643,1688,2180,2447
"ENSG00000005844","ITGAL",4,5,16,15
"ENSG00000005882","PDK2",1297,1266,1278,1365
"ENSG00000005884","ITGA3",859,908,8896,9231
"ENSG00000005889","ZFX",2817,2746,2637,2933
"ENSG00000005893","LAMP2",12359,13141,11008,12017
"ENSG00000005955","GGNBP2",3666,3799,3506,3830
"ENSG00000005961","ITGA2B",41,37,3,12
"ENSG00000005981","ASB4",0,0,4,1
"ENSG00000006007","GDE1",4192,4214,3911,4295
"ENSG00000006015","C19orf60",447,404,715,761
"ENSG00000006016","CRLF1",134,143,342,382
"ENSG00000006025","OSBPL7",658,673,661,643
"ENSG00000006042","TMEM98",7854,7722,7388,7812
"ENSG00000006047","YBX2",1,0,0,0
"ENSG00000006059","KRT33A",0,0,0,0
"ENSG00000006062","MAP3K14",262,261,177,151
"ENSG00000006071","ABCC8",0,0,0,0
"ENSG00000006074","CCL18",0,0,0,0
"ENSG00000006075","CCL3",0,0,0,0
"ENSG00000006114","SYNRG",2749,2716,3081,3325
"ENSG00000006116","CACNG3",0,0,0,0
"ENSG00000006118","TMEM132A",2567,2319,6032,5855
"ENSG00000006125","AP2B1",14565,14740,15429,17249
"ENSG00000006128","TAC1",8,4,6,5
"ENSG00000006194","ZNF263",1266,1254,1132,1162
"ENSG00000006210","CX3CL1",0,0,0,0
"ENSG00000006282","SPATA20",2007,1999,2355,2353
"ENSG00000006283","CACNA1G",170,196,391,332
"ENSG00000006327","TNFRSF12A",196,188,3832,3579
"ENSG00000006377","DLX6",0,0,0,0
"ENSG00000006432","MAP3K9",1,1,1,0
"ENSG00000006451","RALA",1662,1654,4370,4620
"ENSG00000006453","BAIAP2L1",175,191,590,653
"ENSG00000006459","KDM7A",612,594,928,985
"ENSG00000006468","ETV1",84,91,3321,3503
"ENSG00000006530","AGK",923,843,786,848
"ENSG00000006534","ALDH3B1",2141,2060,1242,1271
"ENSG00000006555","TTC22",1,0,0,0
"ENSG00000006576","PHTF2",2985,2932,4451,4980
"ENSG00000006606","CCL26",1,1,4,1
"ENSG00000006607","FARP2",1338,1284,1775,1985
"ENSG00000006611","USH1C",0,0,0,0
"ENSG00000006625","GGCT",380,425,564,603
"ENSG00000006634","DBF4",219,228,406,428
"ENSG00000006638","TBXA2R",288,314,470,443
"ENSG00000006652","IFRD1",1866,1851,2929,3320
"ENSG00000006659","LGALS14",0,0,0,0
"ENSG00000006695","COX10",335,315,412,500
"ENSG00000006704","GTF2IRD1",2607,2749,2156,2035
"ENSG00000006712","PAF1",2107,2170,2579,2649
"ENSG00000006715","VPS41",4093,4222,3650,4021
"ENSG00000006740","ARHGAP44",118,115,245,231
"ENSG00000006744","ELAC2",2279,2291,2368,2528
"ENSG00000006747","SCIN",0,1,16,5
"ENSG00000006756","ARSD",1727,1783,1024,1047
"ENSG00000006757","PNPLA4",331,365,187,181
"ENSG00000006788","MYH13",0,1,0,0
"ENSG00000006831","ADIPOR2",2959,2965,3401,3752
"ENSG00000006837","CDKL3",29,33,18,29
"ENSG00000007001","UPP2",0,1,0,0
"ENSG00000007038","PRSS21",1,0,1,0
"ENSG00000007047","MARK4",1657,1596,1979,1865
"ENSG00000007062","PROM1",3,1,4,0
"ENSG00000007080","CCDC124",957,954,1378,1357
"ENSG00000007129","CEACAM21",0,0,0,0
"ENSG00000007168","PAFAH1B1",8065,8241,9612,10760
"ENSG00000007171","NOS2",0,0,0,0
"ENSG00000007174","DNAH9",1,1,0,0
"ENSG00000007202","KIAA0100",10227,10406,12312,12861
"ENSG00000007216","SLC13A2",0,0,0,0
"ENSG00000007237","GAS7",889,921,808,889
"ENSG00000007255","TRAPPC6A",268,241,122,111
"ENSG00000007264","MATK",0,0,0,0
"ENSG00000007306","CEACAM7",0,0,0,0
"ENSG00000007312","CD79B",0,0,0,0
"ENSG00000007314","SCN4A",0,0,0,0
"ENSG00000007341","ST7L",580,655,553,642
"ENSG00000007350","TKTL1",0,0,0,0
"ENSG00000007372","PAX6",23,24,35,36
"ENSG00000007376","RPUSD1",461,424,449,491
"ENSG00000007384","RHBDF1",3146,3279,9205,9396
"ENSG00000007392","LUC7L",2424,2272,2719,2806
"ENSG00000007402","CACNA2D2",40,52,22,26
"ENSG00000007516","BAIAP3",15,9,46,38
"ENSG00000007520","TSR3",728,701,1164,1089
"ENSG00000007541","PIGQ",1729,1610,2197,2225
"ENSG00000007545","CRAMP1L",765,741,1197,1214
"ENSG00000007866","TEAD3",2932,2845,4432,4478
"ENSG00000007908","SELE",0,0,0,0
"ENSG00000007923","DNAJC11",1856,1938,1602,1759
"ENSG00000007933","FMO3",1,0,0,0
"ENSG00000007944","MYLIP",791,814,770,750
"ENSG00000007952","NOX1",3,7,6,5
"ENSG00000007968","E2F2",94,120,140,97
"ENSG00000008018","PSMB1",5009,4947,5444,5956
"ENSG00000008056","SYN1",4,2,25,36
"ENSG00000008083","JARID2",1318,1311,1718,1694
"ENSG00000008086","CDKL5",212,208,226,292
"ENSG00000008118","CAMK1G",1091,960,897,1039
"ENSG00000008128","CDK11A",285,275,394,364
"ENSG00000008130","NADK",2667,2509,3281,3357
"ENSG00000008196","TFAP2B",0,0,0,0
"ENSG00000008197","TFAP2D",0,0,0,0
"ENSG00000008226","DLEC1",39,18,9,9
"ENSG00000008256","CYTH3",1872,2017,3789,3932
"ENSG00000008277","ADAM22",10,14,23,29
"ENSG00000008282","SYPL1",3263,3441,3956,4478
"ENSG00000008283","CYB561",733,750,746,725
"ENSG00000008294","SPAG9",6385,6224,7877,8952
"ENSG00000008300","CELSR3",765,677,274,255
"ENSG00000008311","AASS",1001,910,896,919
"ENSG00000008323","PLEKHG6",6,5,9,11
"ENSG00000008324","SS18L2",209,241,245,274
"ENSG00000008382","MPND",155,188,225,216
"ENSG00000008394","MGST1",8989,9125,4107,4633
"ENSG00000008405","CRY1",686,645,816,977
"ENSG00000008438","PGLYRP1",14,9,9,10
"ENSG00000008441","NFIX",4886,4595,5075,5261
"ENSG00000008513","ST3GAL1",4181,4283,5962,6233
"ENSG00000008516","MMP25",17,22,14,21
"ENSG00000008517","IL32",68,95,180,157
"ENSG00000008710","PKD1",7783,7586,10304,10107
"ENSG00000008735","MAPK8IP2",15,12,16,16
"ENSG00000008838","MED24",3315,3198,3626,3690
"ENSG00000008853","RHOBTB2",2127,2163,1228,1291
"ENSG00000008869","HEATR5B",1231,1388,1705,1924
"ENSG00000008952","SEC62",10637,10358,8147,9173
"ENSG00000008988","RPS20",15695,15612,12205,13525
"ENSG00000009307","CSDE1",33765,33628,27246,30463
"ENSG00000009335","UBE3C",6213,6047,6341,6652
"ENSG00000009413","REV3L",12855,12711,3145,3411
"ENSG00000009694","TENM1",0,0,0,0
"ENSG00000009709","PAX7",0,0,0,0
"ENSG00000009724","MASP2",135,157,84,71
"ENSG00000009765","IYD",3,4,2,3
"ENSG00000009780","FAM76A",281,314,470,534
"ENSG00000009790","TRAF3IP3",24,20,45,84
"ENSG00000009830","POMT2",1863,1863,2142,2321
"ENSG00000009844","VTA1",2331,2260,2191,2342
"ENSG00000009950","MLXIPL",4,6,0,1
"ENSG00000009954","BAZ1B",5760,5767,8145,8916
"ENSG00000010017","RANBP9",3435,3483,3534,4032
"ENSG00000010030","ETV7",6,13,10,3
"ENSG00000010072","SPRTN",556,609,704,726
"ENSG00000010165","METTL13",1342,1299,1978,2061
"ENSG00000010219","DYRK4",736,831,639,732
"ENSG00000010244","ZNF207",5725,5798,5741,6292
"ENSG00000010256","UQCRC1",5186,5227,7869,8317
"ENSG00000010270","STARD3NL",1448,1612,1335,1423
"ENSG00000010278","CD9",530,506,8789,9659
"ENSG00000010282","HHATL",0,0,0,0
"ENSG00000010292","NCAPD2",3406,3390,3702,4143
"ENSG00000010295","IFFO1",1520,1660,3177,3159
"ENSG00000010310","GIPR",86,89,171,155
"ENSG00000010318","PHF7",120,115,181,147
"ENSG00000010319","SEMA3G",6,6,1,0
"ENSG00000010322","NISCH",10946,11365,8905,9239
"ENSG00000010327","STAB1",1,2,0,1
"ENSG00000010361","FUZ",407,348,406,430
"ENSG00000010379","SLC6A13",0,0,3,0
"ENSG00000010404","IDS",2779,2989,6193,7038
"ENSG00000010438","PRSS3",1,2,266,277
"ENSG00000010539","ZNF200",302,323,294,352
"ENSG00000010610","CD4",66,79,5,4
"ENSG00000010626","LRRC23",323,312,356,316
"ENSG00000010671","BTK",0,0,0,0
"ENSG00000010704","HFE",1431,1468,1064,1085
"ENSG00000010803","SCMH1",1629,1620,1915,2032
"ENSG00000010810","FYN",5807,5761,2016,2255
"ENSG00000010818","HIVEP2",3766,3997,7850,8338
"ENSG00000010932","FMO1",1,1,0,0
"ENSG00000011007","TCEB3",2075,2118,2287,2507
"ENSG00000011009","LYPLA2",891,855,1806,1686
"ENSG00000011021","CLCN6",1454,1473,1781,1807
"ENSG00000011028","MRC2",50284,49741,49347,48923
"ENSG00000011052","NME2",0,0,0,0
"ENSG00000011083","SLC6A7",3,3,44,50
"ENSG00000011105","TSPAN9",3538,3506,5670,5770
"ENSG00000011114","BTBD7",2726,2813,3248,3367
"ENSG00000011132","APBA3",495,443,572,599
"ENSG00000011143","MKS1",463,509,372,371
"ENSG00000011198","ABHD5",1029,1000,989,1071
"ENSG00000011201","KAL1",116,115,4,5
"ENSG00000011243","AKAP8L",1772,1798,2102,2019
"ENSG00000011258","MBTD1",868,889,882,998
"ENSG00000011260","UTP18",636,677,1056,1254
"ENSG00000011275","RNF216",4183,4196,3999,4243
"ENSG00000011295","TTC19",1299,1384,1102,1316
"ENSG00000011304","PTBP1",6927,6981,9926,9920
"ENSG00000011332","DPF1",56,47,49,52
"ENSG00000011347","SYT7",36,61,3725,3609
"ENSG00000011376","LARS2",931,952,995,992
"ENSG00000011405","PIK3C2A",3031,2981,3245,3645
"ENSG00000011422","PLAUR",2784,2763,7633,7761
"ENSG00000011426","ANLN",1752,1799,3062,3364
"ENSG00000011451","WIZ",2145,2051,2490,2389
"ENSG00000011454","RABGAP1",4188,4314,3257,3692
"ENSG00000011465","DCN",96571,97867,42441,46692
"ENSG00000011478","QPCTL",857,922,734,751
"ENSG00000011485","PPP5C",2157,2084,3174,3173
"ENSG00000011523","CEP68",902,856,1086,1140
"ENSG00000011566","MAP4K3",1683,1582,1688,1930
"ENSG00000011590","ZBTB32",9,15,5,2
"ENSG00000011600","TYROBP",0,0,0,0
"ENSG00000011638","TMEM159",1997,1977,1788,1942
"ENSG00000011677","GABRA3",1,2,0,0
"ENSG00000012048","BRCA1",420,369,858,1048
"ENSG00000012061","ERCC1",1618,1640,2744,2864
"ENSG00000012124","CD22",2,4,40,22
"ENSG00000012171","SEMA3B",2912,2744,263,287
"ENSG00000012174","MBTPS2",2447,2415,1773,2115
"ENSG00000012211","PRICKLE3",217,229,221,267
"ENSG00000012223","LTF",1,1,0,1
"ENSG00000012232","EXTL3",4652,4745,7884,8251
"ENSG00000012504","NR1H4",0,0,0,0
"ENSG00000012660","ELOVL5",5986,6492,4833,5427
"ENSG00000012779","ALOX5",0,0,0,0
"ENSG00000012817","KDM5D",0,0,0,0
"ENSG00000012822","CALCOCO1",6679,6662,8403,8874
"ENSG00000012963","UBR7",1111,1071,1574,1712
"ENSG00000012983","MAP4K5",4200,4277,3816,4384
"ENSG00000013016","EHD3",3242,3233,7570,7905
"ENSG00000013275","PSMC4",2383,2382,3133,3232
"ENSG00000013288","MAN2B2",10065,10176,5619,5806
"ENSG00000013293","SLC7A14",83,99,17,38
"ENSG00000013297","CLDN11",1711,1779,695,790
"ENSG00000013306","SLC25A39",2101,2157,3031,3129
"ENSG00000013364","MVP",6392,6319,13001,13185
"ENSG00000013374","NUB1",2334,2301,2179,2507
"ENSG00000013375","PGM3",4429,4339,4539,5235
"ENSG00000013392","RWDD2A",651,649,513,593
"ENSG00000013441","CLK1",3945,3968,4027,4815
"ENSG00000013503","POLR3B",584,606,662,708
"ENSG00000013523","ANGEL1",1245,1290,1043,1184
"ENSG00000013561","RNF14",1876,2050,2340,2438
"ENSG00000013563","DNASE1L1",2410,2397,1316,1350
"ENSG00000013573","DDX11",422,359,711,653
"ENSG00000013583","HEBP1",1438,1446,2170,2486
"ENSG00000013588","GPRC5A",4805,5148,497,518
"ENSG00000013619","MAMLD1",3324,3196,754,768
"ENSG00000013725","CD6",0,0,0,0
"ENSG00000013810","TACC3",722,700,1078,1142
"ENSG00000014123","UFL1",2132,2226,1853,2204
"ENSG00000014138","POLA2",473,416,975,972
"ENSG00000014164","ZC3H3",466,429,604,543
"ENSG00000014216","CAPN1",4676,4715,7566,7693
"ENSG00000014257","ACPP",2,6,16,16
"ENSG00000014641","MDH1",4303,4340,4181,4711
"ENSG00000014824","SLC30A9",3652,3629,3257,3927
"ENSG00000014914","MTMR11",761,800,1911,2060
"ENSG00000014919","COX15",1977,1929,1172,1324
"ENSG00000015133","CCDC88C",0,0,7,7
"ENSG00000015153","YAF2",504,506,764,815
"ENSG00000015171","ZMYND11",4351,4492,6038,6498
"ENSG00000015285","WAS",8,2,0,0
"ENSG00000015413","DPEP1",1,0,0,0
"ENSG00000015475","BID",724,635,805,908
"ENSG00000015479","MATR3",12661,12736,13946,15358
"ENSG00000015520","NPC1L1",7,8,5,2
"ENSG00000015532","XYLT2",2407,2388,2898,2956
"ENSG00000015568","RGPD5",27,20,34,53
"ENSG00000015592","STMN4",0,0,0,0
"ENSG00000015676","NUDCD3",3332,3406,5039,5256
"ENSG00000016082","ISL1",4,1,0,0
"ENSG00000016391","CHDH",11,17,62,54
"ENSG00000016402","IL20RA",0,0,1,0
"ENSG00000016490","CLCA1",0,0,0,0
"ENSG00000016602","CLCA4",0,0,0,0
"ENSG00000016864","GLT8D1",5717,5823,3477,3858
"ENSG00000017260","ATP2C1",6798,6889,9799,10893
"ENSG00000017373","SRCIN1",2,1,4,2
"ENSG00000017427","IGF1",5213,5332,9,2
"ENSG00000017483","SLC38A5",1750,1887,1840,1989
"ENSG00000017621","MAGIX",27,30,35,29
"ENSG00000017797","RALBP1",3056,3228,4591,4804
"ENSG00000018189","RUFY3",2719,2716,2607,2847
"ENSG00000018236","CNTN1",0,0,0,0
"ENSG00000018280","SLC11A1",12,19,26,11
"ENSG00000018408","WWTR1",9431,9629,7980,9012
"ENSG00000018510","AGPS",1615,1482,1873,2155
"ENSG00000018607","ZNF806",0,0,0,0
"ENSG00000018610","CXorf56",758,802,1017,1044
"ENSG00000018625","ATP1A2",25,24,6,1
"ENSG00000018699","TTC27",410,393,632,727
"ENSG00000018869","ZNF582",84,134,100,89
"ENSG00000019102","VSIG2",0,0,1,7
"ENSG00000019144","PHLDB1",12385,12477,9938,10021
"ENSG00000019169","MARCO",0,0,0,0
"ENSG00000019186","CYP24A1",0,0,0,0
"ENSG00000019485","PRDM11",209,212,136,105
"ENSG00000019505","SYT13",0,0,0,0
"ENSG00000019549","SNAI2",5542,5465,5294,5689
"ENSG00000019582","CD74",68,60,20,7
"ENSG00000019991","HGF",7324,7341,2241,2508
"ENSG00000019995","ZRANB1",3614,3619,3073,3465
"ENSG00000020129","NCDN",3907,3821,2145,2200
"ENSG00000020181","GPR124",12399,12346,10223,10184
"ENSG00000020219","CCT8L1P",0,0,0,0
"ENSG00000020256","ZFP64",788,783,840,931
"ENSG00000020426","MNAT1",467,414,676,715
"ENSG00000020577","SAMD4A",2710,2592,3194,3476
"ENSG00000020633","RUNX3",2,1,0,0
"ENSG00000020922","MRE11A",456,482,778,905
"ENSG00000021300","PLEKHB1",10,6,1,4
"ENSG00000021355","SERPINB1",731,695,499,569
"ENSG00000021461","CYP3A43",1,0,2,2
"ENSG00000021488","SLC7A9",0,2,8,1
"ENSG00000021574","SPAST",936,984,1038,1139
"ENSG00000021645","NRXN3",1923,1828,520,520
"ENSG00000021762","OSBPL5",3513,3498,2692,2565
"ENSG00000021776","AQR",2415,2342,2446,2584
"ENSG00000021826","CPS1",968,917,336,367
"ENSG00000021852","C8B",0,0,0,0
"ENSG00000022267","FHL1",6463,6683,2339,2408
"ENSG00000022277","RTFDC1",2817,2882,3331,3406
"ENSG00000022355","GABRA1",0,0,0,0
"ENSG00000022556","NLRP2",1,3,8,10
"ENSG00000022567","SLC45A4",859,771,394,387
"ENSG00000022840","RNF10",6899,7100,7533,7920
"ENSG00000022976","ZNF839",478,488,394,398
"ENSG00000023041","ZDHHC6",1460,1433,1454,1658
"ENSG00000023171","GRAMD1B",205,210,630,621
"ENSG00000023191","RNH1",5644,5715,9469,9408
"ENSG00000023228","NDUFS1",4445,4462,4955,5315
"ENSG00000023287","RB1CC1",3573,3664,5567,6153
"ENSG00000023318","ERP44",5083,5017,2911,3370
"ENSG00000023330","ALAS1",1858,1786,1903,2062
"ENSG00000023445","BIRC3",14,19,50,69
"ENSG00000023516","AKAP11",4821,4634,6197,7046
"ENSG00000023572","GLRX2",230,246,421,487
"ENSG00000023608","SNAPC1",468,476,405,419
"ENSG00000023697","DERA",700,719,980,1061
"ENSG00000023734","STRAP",6388,6392,5265,6114
"ENSG00000023839","ABCC2",21,12,69,63
"ENSG00000023892","DEF6",16,7,26,38
"ENSG00000023902","PLEKHO1",1610,1577,5676,5839
"ENSG00000023909","GCLM",1048,1144,658,664
"ENSG00000024048","UBR2",2801,2614,3001,3225
"ENSG00000024422","EHD2",18639,18500,16241,16519
"ENSG00000024526","DEPDC1",467,439,580,765
"ENSG00000024862","CCDC28A",500,508,511,612
"ENSG00000025039","RRAGD",1,0,25,26
"ENSG00000025156","HSF2",703,756,739,720
"ENSG00000025293","PHF20",3051,3135,2777,3063
"ENSG00000025423","HSD17B6",362,384,0,0
"ENSG00000025434","NR1H3",865,840,457,372
"ENSG00000025708","TYMP",353,324,198,195
"ENSG00000025770","NCAPH2",800,763,1293,1195
"ENSG00000025772","TOMM34",802,812,2408,2715
"ENSG00000025796","SEC63",7133,7354,7953,8782
"ENSG00000025800","KPNA6",4682,4676,4785,5251
"ENSG00000026025","VIM",61340,62367,163898,172544
"ENSG00000026036","RTEL1-TNFRSF6B",186,217,270,283
"ENSG00000026103","FAS",2412,2592,1913,2141
"ENSG00000026297","RNASET2",881,935,408,354
"ENSG00000026508","CD44",35352,36212,52254,56628
"ENSG00000026559","KCNG1",206,188,1832,1642
"ENSG00000026652","AGPAT4",1211,1189,1776,1857
"ENSG00000026751","SLAMF7",2,1,1,0
"ENSG00000026950","BTN3A1",1818,1804,2088,2323
"ENSG00000027001","MIPEP",600,581,1619,1863
"ENSG00000027075","PRKCH",12,18,5,3
"ENSG00000027644","INSRR",1,1,1,1
"ENSG00000027697","IFNGR1",1802,1930,1820,1970
"ENSG00000027847","B4GALT7",1621,1659,1145,1152
"ENSG00000027869","SH2D2A",11,9,0,0
"ENSG00000028116","VRK2",383,404,726,793
"ENSG00000028137","TNFRSF1B",3566,3772,1745,1655
"ENSG00000028203","VEZT",2517,2557,2016,2164
"ENSG00000028277","POU2F2",63,27,3321,3527
"ENSG00000028310","BRD9",1761,1775,2589,2665
"ENSG00000028528","SNX1",4704,5014,4850,5291
"ENSG00000028839","TBPL1",507,409,476,542
"ENSG00000029153","ARNTL2",203,234,1453,1592
"ENSG00000029363","BCLAF1",8627,8711,7271,8070
"ENSG00000029364","SLC39A9",6103,5977,3666,4136
"ENSG00000029534","ANK1",2,4,1,1
"ENSG00000029559","IBSP",0,0,0,0
"ENSG00000029639","TFB1M",111,166,862,925
"ENSG00000029725","RABEP1",2972,2987,4299,4714
"ENSG00000029993","HMGB3",617,597,1230,1435
"ENSG00000030066","NUP160",2042,1972,2643,2881
"ENSG00000030110","BAK1",518,486,874,897
"ENSG00000030304","MUSK",17,19,11,6
"ENSG00000030419","IKZF2",315,317,228,305
"ENSG00000030582","GRN",22730,22714,22601,22681
"ENSG00000031003","FAM13B",1591,1433,1671,1935
"ENSG00000031081","ARHGAP31",1064,1021,2388,2532
"ENSG00000031544","NR2E3",0,1,1,5
"ENSG00000031691","CENPQ",135,124,351,399
"ENSG00000031698","SARS",5647,5680,11181,12444
"ENSG00000031823","RANBP3",1849,1832,2200,2360
"ENSG00000032219","ARID4A",944,935,1289,1346
"ENSG00000032389","TSSC1",646,586,680,700
"ENSG00000032444","PNPLA6",3682,3665,4488,4590
"ENSG00000032742","IFT88",300,295,327,331
"ENSG00000033011","ALG1",1169,1140,954,1076
"ENSG00000033030","ZCCHC8",608,558,836,1030
"ENSG00000033050","ABCF2",3263,3339,3105,3022
"ENSG00000033100","CHPF2",7552,7538,7268,7074
"ENSG00000033122","LRRC7",1,10,23,8
"ENSG00000033170","FUT8",1891,1829,2559,2585
"ENSG00000033178","UBA6",1768,1829,3738,4236
"ENSG00000033327","GAB2",5708,5683,3587,3717
"ENSG00000033627","ATP6V0A1",3406,3469,3396,3609
"ENSG00000033800","PIAS1",1036,1012,1104,1145
"ENSG00000033867","SLC4A7",1835,1785,4379,4970
"ENSG00000034053","APBA2",425,376,825,789
"ENSG00000034063","UHRF1",556,509,2090,2119
"ENSG00000034152","MAP2K3",1219,1240,4457,4562
"ENSG00000034239","EFCAB1",193,190,102,129
"ENSG00000034510","TMSB10",23839,23577,26382,27789
"ENSG00000034533","ASTE1",164,149,344,383
"ENSG00000034677","RNF19A",1709,1672,2063,2164
"ENSG00000034693","PEX3",547,509,488,566
"ENSG00000034713","GABARAPL2",2403,2412,3102,3321
"ENSG00000034971","MYOC",0,0,0,0
"ENSG00000035115","SH3YL1",1467,1432,912,1069
"ENSG00000035141","FAM136A",671,662,1126,1083
"ENSG00000035403","VCL",20543,21314,26272,28287
"ENSG00000035499","DEPDC1B",105,101,141,137
"ENSG00000035664","DAPK2",153,156,77,79
"ENSG00000035681","NSMAF",2382,2457,3901,4390
"ENSG00000035687","ADSS",2142,2082,4186,4627
"ENSG00000035720","STAP1",0,1,0,0
"ENSG00000035862","TIMP2",103886,104980,137579,147151
"ENSG00000035928","RFC1",3305,3202,3066,3524
"ENSG00000036054","TBC1D23",2326,2558,3285,3818
"ENSG00000036257","CUL3",3809,3635,4327,4972
"ENSG00000036448","MYOM2",21,18,6,20
"ENSG00000036473","OTC",0,0,0,0
"ENSG00000036530","CYP46A1",28,21,8,22
"ENSG00000036549","ZZZ3",2053,2117,2542,2724
"ENSG00000036565","SLC18A1",0,0,0,0
