"hsap_ensembl_gid","hsap_gene_name","control_1","control_2","control_3","control_4","conditioned_1","conditioned_2","conditioned_3","conditioned_4"
"ENSG00000204508","PRAMEF22",0,0,0,0,0,0,0,0
"ENSG00000204510","PRAMEF7",0,0,0,0,0,0,0,0
"ENSG00000204511","MCCD1",0,0,0,0,0,0,0,0
"ENSG00000204513","PRAMEF11",0,0,0,0,0,0,0,0
"ENSG00000204514","ZNF814",29,61,33,67,121,77,61,73
"ENSG00000204516","MICB",681,1175,483,1194,1630,1144,884,877
"ENSG00000204518","AADACL4",0,0,0,0,0,0,0,0
"ENSG00000204519","ZNF551",163,232,119,200,361,236,206,196
"ENSG00000204520","MICA",479,781,324,660,478,271,242,257
"ENSG00000204524","ZNF805",136,338,118,284,307,188,162,184
"ENSG00000204525","HLA-C",13267,21005,8341,17591,17863,10093,8641,7377
"ENSG00000204531","POU5F1",1,1,5,1,2,4,1,2
"ENSG00000204532","ZSCAN5C",0,0,0,0,0,0,0,0
"ENSG00000204533","AC024580.1",0,0,0,0,1,0,2,0
"ENSG00000204536","CCHCR1",195,382,184,362,476,305,237,220
"ENSG00000204538","PSORS1C2",0,0,0,0,0,0,0,0
"ENSG00000204539","CDSN",0,0,0,0,0,0,0,0
"ENSG00000204540","PSORS1C1",0,0,0,0,0,0,0,0
"ENSG00000204542","C6orf15",0,0,0,0,0,0,0,0
"ENSG00000204544","MUC21",0,0,0,0,0,0,0,0
"ENSG00000204548","DEFB121",0,0,0,0,0,0,0,0
"ENSG00000204560","DHX16",867,1357,680,1240,1910,1395,1217,1002
"ENSG00000204564","C6orf136",227,304,142,321,297,216,164,165
"ENSG00000204566","C10orf115",2,4,0,13,3,1,1,2
"ENSG00000204568","MRPS18B",1194,2297,1018,1791,1731,1260,769,877
"ENSG00000204569","PPP1R10",603,948,406,857,1292,792,808,664
"ENSG00000204571","KRTAP5-11",0,0,0,0,0,0,0,0
"ENSG00000204572","KRTAP5-10",0,0,0,1,0,0,0,0
"ENSG00000204574","ABCF1",1904,2801,1635,2654,3466,2702,1993,1834
"ENSG00000204576","PRR3",63,139,63,115,230,130,114,124
"ENSG00000204577","LILRB3",0,2,0,3,1,0,0,0
"ENSG00000204580","DDR1",416,713,293,598,879,533,455,430
"ENSG00000204590","GNL1",1424,2130,974,2016,2714,1642,1570,1433
"ENSG00000204592","HLA-E",23015,34686,15665,30382,29313,19921,17181,17020
"ENSG00000204595","DPRX",0,1,0,1,0,0,0,0
"ENSG00000204599","TRIM39",131,192,90,202,235,180,156,121
"ENSG00000204604","ZNF468",92,135,59,122,266,173,203,174
"ENSG00000204610","TRIM15",5,7,3,4,20,6,12,10
"ENSG00000204611","ZNF616",143,283,122,294,559,351,337,293
"ENSG00000204612","FOXB2",0,0,0,0,0,0,0,0
"ENSG00000204613","TRIM10",3,3,5,6,21,14,9,5
"ENSG00000204614","TRIM40",0,0,0,2,1,0,0,0
"ENSG00000204616","TRIM31",0,2,0,0,1,0,0,0
"ENSG00000204618","RNF39",2,1,0,0,4,1,3,0
"ENSG00000204619","PPP1R11",530,924,408,762,1106,749,603,554
"ENSG00000204620","AC115618.1",4,20,8,7,4,2,5,7
"ENSG00000204624","PTCHD2",5,3,4,4,14,9,5,6
"ENSG00000204628","GNB2L1",56832,93278,40878,73886,58921,41500,29451,30340
"ENSG00000204632","HLA-G",67,95,41,98,108,55,47,46
"ENSG00000204634","TBC1D8",72,91,42,132,93,48,52,51
"ENSG00000204640","NMS",0,0,0,0,0,0,0,0
"ENSG00000204642","HLA-F",1306,2029,856,1848,2370,1498,1221,1258
"ENSG00000204644","ZFP57",0,0,0,2,0,1,3,0
"ENSG00000204645","SSX4",0,0,0,0,0,0,0,0
"ENSG00000204653","ASPDH",0,0,0,0,0,0,0,0
"ENSG00000204655","MOG",0,0,1,0,0,0,0,0
"ENSG00000204657","OR2H2",0,3,0,1,0,0,0,0
"ENSG00000204659","CBY3",0,0,0,0,3,0,0,0
"ENSG00000204661","C5orf60",0,0,0,0,0,0,0,0
"ENSG00000204669","C9orf57",0,0,0,0,0,0,0,0
"ENSG00000204671","IL31",1,0,1,0,0,0,0,0
"ENSG00000204673","AKT1S1",518,670,280,672,693,427,447,411
"ENSG00000204677","FAM153C",76,106,55,95,85,55,42,30
"ENSG00000204681","GABBR1",65,131,57,107,104,42,65,80
"ENSG00000204682","CASC10",0,0,4,1,9,5,7,4
"ENSG00000204683","C10orf113",0,0,0,0,0,0,0,0
"ENSG00000204687","MAS1L",0,0,1,0,2,0,0,1
"ENSG00000204688","OR2H1",0,0,0,0,0,0,3,0
"ENSG00000204694","OR11A1",0,0,0,0,0,0,0,0
"ENSG00000204695","OR14J1",0,0,0,0,0,0,0,0
"ENSG00000204700","OR2J2",0,0,0,0,0,0,0,0
"ENSG00000204701","OR2J3",0,0,0,0,0,0,0,0
"ENSG00000204702","OR2J1",0,0,0,0,0,0,0,0
"ENSG00000204703","OR2B3",0,0,0,0,0,0,0,0
"ENSG00000204704","OR2W1",0,0,0,0,0,0,0,0
"ENSG00000204709","C6orf100",1,1,0,1,0,1,1,0
"ENSG00000204710","SPDYC",0,0,0,0,0,0,0,0
"ENSG00000204711","C9orf135",3,2,1,3,3,3,3,5
"ENSG00000204713","TRIM27",1315,1886,881,1910,2221,1422,1332,1266
"ENSG00000204740","MALRD1",0,0,0,0,0,0,0,0
"ENSG00000204752","AC025278.1",0,0,0,0,0,0,0,1
"ENSG00000204764","RANBP17",0,0,0,0,0,0,0,0
"ENSG00000204767","FAM196B",0,0,1,0,1,0,0,0
"ENSG00000204775","KM-PA-2",0,0,0,0,0,0,0,0
"ENSG00000204779","FOXD4L5",0,0,0,0,0,0,0,0
"ENSG00000204788","CR769776.1",0,0,0,0,0,0,0,0
"ENSG00000204790","CBWD6",13,7,5,17,7,9,14,15
"ENSG00000204793","FOXD4L6",0,0,0,0,0,0,0,0
"ENSG00000204807","FAM27E2",0,0,0,0,0,0,1,0
"ENSG00000204814","RP11-160N1.10",0,0,0,0,0,0,0,0
"ENSG00000204822","MRPL53",13,14,14,17,40,16,24,19
"ENSG00000204828","FOXD4L2",0,0,0,0,0,0,0,0
"ENSG00000204839","MROH6",90,105,56,113,129,113,62,53
"ENSG00000204842","ATXN2",953,1440,606,1198,1630,1093,1268,1058
"ENSG00000204843","DCTN1",1898,2712,1614,2732,5400,3816,3058,2654
"ENSG00000204848","SPATA31A2",0,0,0,0,0,0,0,0
"ENSG00000204849","SPATA31A1",0,0,0,0,0,0,0,0
"ENSG00000204850","AC011484.1",2,4,0,0,3,2,2,7
"ENSG00000204851","PNMAL2",1,3,2,3,8,7,5,5
"ENSG00000204852","TCTN1",5,16,3,9,20,10,17,14
"ENSG00000204856","FAM216A",67,124,66,72,116,91,104,79
"ENSG00000204859","ZBTB48",211,359,140,279,311,184,197,140
"ENSG00000204866","IGFL2",8,10,12,13,7,11,3,2
"ENSG00000204869","IGFL4",0,0,0,0,0,0,0,0
"ENSG00000204873","KRTAP9-3",0,0,0,0,0,0,0,0
"ENSG00000204876","AC021218.2",0,0,0,4,0,0,2,0
"ENSG00000204880","KRTAP4-8",0,0,0,0,0,0,0,0
"ENSG00000204882","GPR20",0,0,0,0,0,0,0,0
"ENSG00000204887","KRTAP1-4",0,0,0,0,0,0,0,0
"ENSG00000204889","KRT40",0,0,0,0,0,0,0,0
"ENSG00000204897","KRT25",0,0,0,0,0,0,0,0
"ENSG00000204899","MZT1",1547,2626,1077,2122,1645,1232,1266,1096
"ENSG00000204904","CXorf31",0,0,0,0,0,0,0,0
"ENSG00000204909","SPINK9",4,6,4,2,7,4,3,2
"ENSG00000204913","LRRC3C",0,0,0,0,4,2,1,0
"ENSG00000204918","PRR20B",0,0,0,0,0,0,0,0
"ENSG00000204919","PRR20A",0,0,0,0,0,0,0,0
"ENSG00000204920","ZNF155",111,174,94,210,254,188,152,135
"ENSG00000204922","C11orf83",184,288,129,242,214,186,96,115
"ENSG00000204923","FBXO48",75,106,30,80,123,59,83,67
"ENSG00000204928","GRXCR2",0,0,0,0,0,0,0,0
"ENSG00000204930","FAM221B",0,0,0,0,0,0,0,0
"ENSG00000204941","PSG5",0,0,0,0,0,0,0,0
"ENSG00000204946","ZNF783",132,195,90,180,320,186,181,146
"ENSG00000204947","ZNF425",14,17,16,16,32,21,24,20
"ENSG00000204950","LRRC10B",4,2,1,2,9,4,8,1
"ENSG00000204952","FBXO47",0,0,0,3,0,0,1,0
"ENSG00000204954","C12orf73",116,163,73,155,133,103,88,85
"ENSG00000204956","PCDHGA1",0,0,0,0,1,0,0,3
"ENSG00000204957","AC006486.1",0,2,1,1,5,0,1,0
"ENSG00000204960","BLACE",0,0,0,0,0,0,0,0
"ENSG00000204961","PCDHA9",0,0,0,0,0,1,0,0
"ENSG00000204962","PCDHA8",0,0,0,0,0,0,0,0
"ENSG00000204963","PCDHA7",0,0,0,0,0,0,0,0
"ENSG00000204965","PCDHA5",0,0,0,0,0,0,2,0
"ENSG00000204967","PCDHA4",0,0,0,0,0,0,0,0
"ENSG00000204969","PCDHA2",0,0,0,0,0,0,0,0
"ENSG00000204970","PCDHA1",0,0,0,0,0,0,0,0
"ENSG00000204977","TRIM13",406,641,262,589,645,378,450,385
"ENSG00000204978","C19orf69",0,1,0,0,0,0,0,0
"ENSG00000204979","MS4A13",0,0,0,0,0,0,0,0
"ENSG00000204983","PRSS1",0,0,0,0,2,2,0,0
"ENSG00000204991","SPIRE2",12,18,5,11,14,13,18,9
"ENSG00000205002","AARD",0,2,0,3,13,2,4,2
"ENSG00000205018","RP11-830F9.6",10,8,11,7,20,16,11,5
"ENSG00000205020","CCL4L1",0,2,0,0,1,0,1,0
"ENSG00000205021","CCL3L1",24,32,8,38,37,20,23,39
"ENSG00000205022","PABPN1L",0,0,0,0,0,0,1,0
"ENSG00000205029","OR5D16",0,0,0,0,0,0,0,0
"ENSG00000205030","OR5L2",0,0,0,0,0,0,0,0
"ENSG00000205038","PKHD1L1",0,0,0,0,0,0,0,0
"ENSG00000205045","SLFN12L",249,451,208,357,662,419,393,393
"ENSG00000205047","FLJ00104",8,18,2,19,31,18,22,12
"ENSG00000205057","CLLU1OS",0,2,0,0,0,0,3,0
"ENSG00000205060","SLC35B4",133,235,76,207,513,274,286,236
"ENSG00000205076","LGALS7",0,0,0,0,0,0,0,0
"ENSG00000205078","SYCE1L",10,25,8,21,15,17,10,11
"ENSG00000205081","CXorf30",0,0,0,0,0,0,0,0
"ENSG00000205084","TMEM231",42,85,36,67,116,64,44,67
"ENSG00000205085","FAM71F2",1,3,0,0,2,2,2,4
"ENSG00000205086","C2orf91",0,2,0,0,0,0,0,0
"ENSG00000205089","CCNI2",8,16,8,14,16,14,13,13
"ENSG00000205090","TMEM240",2,3,5,2,12,6,6,5
"ENSG00000205097","FRG2",0,0,0,0,0,0,0,0
"ENSG00000205106","CTD-2210P24.4",0,0,0,1,0,0,1,0
"ENSG00000205108","FAM205A",0,0,0,0,0,0,0,0
"ENSG00000205111","CDKL4",0,2,0,1,0,1,1,4
"ENSG00000205116","TMEM88B",0,2,0,4,2,0,1,4
"ENSG00000205126","ACCSL",0,0,0,0,0,0,0,0
"ENSG00000205129","C4orf47",61,111,64,99,75,42,33,21
"ENSG00000205133","TRIQK",121,187,90,144,155,95,136,120
"ENSG00000205138","SDHAF1",304,405,207,371,423,216,166,217
"ENSG00000205143","ARID3C",4,11,1,0,6,2,1,1
"ENSG00000205147","AC016586.1",5,0,2,9,3,0,2,5
"ENSG00000205148","AC016251.1",0,0,0,0,0,0,0,0
"ENSG00000205155","PSENEN",252,358,192,318,415,296,239,238
"ENSG00000205174","C7orf66",0,0,0,0,0,0,0,0
"ENSG00000205176","REXO1L1P",0,0,0,0,0,0,0,0
"ENSG00000205177","C11orf91",0,0,0,1,1,0,2,0
"ENSG00000205186","FABP9",0,0,0,0,0,0,0,0
"ENSG00000205189","ZBTB10",1478,2373,910,1916,2226,1162,2419,1546
"ENSG00000205208","C4orf46",467,875,311,761,1131,716,909,643
"ENSG00000205209","SCGB2B2",1,3,1,4,10,6,9,3
"ENSG00000205212","CCDC144NL",1,0,0,3,0,0,0,0
"ENSG00000205213","LGR4",18,16,12,26,46,18,28,25
"ENSG00000205220","PSMB10",660,928,413,827,1203,805,505,523
"ENSG00000205221","VIT",0,0,0,0,0,0,0,0
"ENSG00000205236","RP11-514P8.6",0,0,0,0,0,0,1,0
"ENSG00000205238","SPDYE2",0,0,0,0,0,0,0,0
"ENSG00000205246","RPSAP58",912,1571,697,1262,917,586,388,402
"ENSG00000205250","E2F4",917,1281,584,1280,2006,1147,1112,960
"ENSG00000205268","PDE7A",934,1518,645,1436,2355,1392,1844,1482
"ENSG00000205269","TMEM170B",79,146,65,193,212,153,293,137
"ENSG00000205277","MUC12",39,46,22,37,53,36,15,23
"ENSG00000205279","CTXN3",0,0,0,0,0,0,0,0
"ENSG00000205281","GOLGA6L10",0,1,0,0,0,0,0,0
"ENSG00000205300","RP11-352D3.2",0,0,0,0,0,0,0,0
"ENSG00000205301","RP11-542P2.1",0,0,0,0,0,1,0,0
"ENSG00000205302","SNX2",1317,1999,950,1730,1654,1185,1165,1161
"ENSG00000205307","SAP25",0,0,0,0,0,0,0,0
"ENSG00000205309","NT5M",21,90,25,45,61,25,31,19
"ENSG00000205318","GCNT6",0,0,0,0,0,0,0,0
"ENSG00000205323","SARNP",182,238,109,220,144,124,87,101
"ENSG00000205327","OR6C68",0,0,0,0,0,0,0,0
"ENSG00000205328","OR6C65",0,0,0,0,0,0,0,0
"ENSG00000205329","OR6C3",0,0,0,0,0,0,0,0
"ENSG00000205330","OR6C1",0,0,0,0,0,0,0,0
"ENSG00000205334","AC074091.13",0,0,0,0,0,0,0,1
"ENSG00000205336","GPR56",940,1382,526,1282,806,454,483,449
"ENSG00000205339","IPO7",6907,13487,4655,11330,10288,6183,7342,6416
"ENSG00000205352","PRR13",1090,1932,772,1505,1701,1286,1108,1011
"ENSG00000205356","TECPR1",325,550,288,476,986,581,527,490
"ENSG00000205358","MT1H",17,19,10,26,26,15,3,6
"ENSG00000205359","SLCO6A1",0,0,0,0,0,0,0,0
"ENSG00000205362","MT1A",20,34,18,25,15,6,3,7
"ENSG00000205363","C15orf59",0,0,0,0,0,0,0,0
"ENSG00000205364","MT1M",4,5,2,11,21,16,5,6
"ENSG00000205403","CFI",0,0,0,0,0,0,0,0
"ENSG00000205409","OR52E6",0,0,0,0,0,0,0,0
"ENSG00000205413","SAMD9",20,35,17,23,236,151,278,209
"ENSG00000205420","KRT6A",0,0,0,0,0,0,0,0
"ENSG00000205423","CNEP1R1",338,528,212,518,696,432,552,507
"ENSG00000205426","KRT81",0,0,0,0,0,0,0,0
"ENSG00000205436","EXOC3L4",0,0,0,0,0,0,0,0
"ENSG00000205439","KRTAP12-3",0,0,0,0,0,0,0,0
"ENSG00000205441","KRTAP10-7",0,0,0,0,0,0,0,0
"ENSG00000205442","IZUMO3",0,0,0,0,0,0,0,0
"ENSG00000205445","KRTAP10-2",0,0,0,0,0,0,0,0
"ENSG00000205456","TP53TG3D",4,3,1,6,1,0,2,5
"ENSG00000205457","TP53TG3C",0,3,0,0,0,0,0,0
"ENSG00000205464","ATP6AP1L",30,41,27,43,111,59,70,64
"ENSG00000205476","CCDC85C",170,374,117,320,372,230,185,195
"ENSG00000205495","OR52J3",0,0,0,0,0,0,0,0
"ENSG00000205496","OR51A2",0,0,0,0,0,0,0,0
"ENSG00000205497","OR51A4",0,0,0,0,0,0,0,0
"ENSG00000205502","C2CD4B",8,6,4,9,3,6,2,1
"ENSG00000205517","RGL3",0,0,0,1,2,0,0,0
"ENSG00000205531","NAP1L4",3771,5322,2788,5364,9343,6785,6867,6009
"ENSG00000205542","TMSB4X",197914,271743,134418,262057,283641,210233,183907,184105
"ENSG00000205544","TMEM256",415,594,254,454,423,228,193,202
"ENSG00000205549","C9orf92",0,0,0,0,0,0,0,0
"ENSG00000205560","CPT1B",12,14,11,21,14,5,8,5
"ENSG00000205571","SMN2",34,86,34,86,81,43,41,48
"ENSG00000205572","SERF1B",2,4,2,4,7,4,2,0
"ENSG00000205581","HMGN1",5213,8667,3646,7271,7781,5397,5784,5155
"ENSG00000205592","MUC19",0,0,0,0,0,0,0,0
"ENSG00000205593","DENND6B",336,380,188,392,520,273,226,246
"ENSG00000205595","AREGB",8,5,2,12,7,3,4,3
"ENSG00000205609","EIF3CL",2,9,5,9,11,2,9,0
"ENSG00000205629","LCMT1",709,1131,490,941,998,609,469,537
"ENSG00000205639","MFSD2B",2,5,5,7,6,3,6,3
"ENSG00000205642","VCX3B",0,0,0,0,0,0,0,0
"ENSG00000205643","CDPF1",78,100,38,67,100,52,55,55
"ENSG00000205649","HTN3",0,0,0,0,0,0,0,0
"ENSG00000205659","LIN52",603,896,426,975,1055,648,687,598
"ENSG00000205664","RP11-706O15.1",159,213,114,210,294,200,183,147
"ENSG00000205667","ARSH",0,0,0,0,0,0,0,0
"ENSG00000205669","ACOT6",0,0,0,0,0,0,1,0
"ENSG00000205670","SMIM11",179,233,111,220,172,153,126,127
"ENSG00000205678","TECRL",0,0,0,0,0,0,0,0
"ENSG00000205683","DPF3",5,2,3,8,15,5,9,4
"ENSG00000205693","MANSC4",5,8,4,4,8,13,11,15
"ENSG00000205707","LYRM5",29,43,32,27,65,36,65,56
"ENSG00000205710","C17orf107",15,26,17,23,38,14,9,19
"ENSG00000205718","MBD3L4",0,0,0,0,0,0,0,0
"ENSG00000205726","ITSN1",170,185,143,243,413,306,340,322
"ENSG00000205730","ITPRIPL2",34,56,20,44,315,168,316,277
"ENSG00000205740","AL359878.1",0,0,1,0,1,0,0,0
"ENSG00000205744","DENND1C",1122,1450,770,1373,1847,1173,1079,975
"ENSG00000205745","PP13004",0,0,0,0,0,0,0,0
"ENSG00000205754","SLCO1B7",0,0,0,0,0,0,0,0
"ENSG00000205755","CRLF2",2,5,2,2,13,5,9,9
"ENSG00000205758","CRYZL1",234,406,167,286,376,249,215,232
"ENSG00000205765","C5orf51",656,1080,461,1039,1715,1143,1824,1142
"ENSG00000205775","GAGE2E",0,0,0,0,0,0,0,0
"ENSG00000205777","GAGE1",0,0,0,0,0,0,0,0
"ENSG00000205784","ARRDC5",4,0,1,2,3,7,4,4
"ENSG00000205791","LOH12CR2",6,7,3,15,4,4,6,6
"ENSG00000205795","CYS1",55,66,32,55,203,113,121,87
"ENSG00000205808","PPAPDC2",11,17,12,27,50,29,44,18
"ENSG00000205809","KLRC2",1,0,0,0,1,0,0,2
"ENSG00000205810","KLRC3",0,0,0,1,0,0,0,0
"ENSG00000205821","AC006435.1",0,0,0,0,0,0,0,0
"ENSG00000205832","C16orf96",3,2,1,1,2,0,1,0
"ENSG00000205835","GMNC",0,0,0,1,0,0,0,0
"ENSG00000205838","TTC23L",0,2,0,6,0,3,0,0
"ENSG00000205846","CLEC6A",0,0,0,0,0,0,0,0
"ENSG00000205850","AL359736.1",0,0,0,0,0,0,0,0
"ENSG00000205853","RFPL3S",17,11,8,33,28,12,24,14
"ENSG00000205856","C22orf42",0,0,0,0,0,0,0,0
"ENSG00000205857","NANOGNB",0,0,0,0,0,0,0,0
"ENSG00000205858","LRRC72",0,0,0,0,0,0,0,0
"ENSG00000205863","C1QTNF9B",0,0,0,0,0,0,0,0
"ENSG00000205864","KRTAP5-6",0,0,0,0,0,0,0,0
"ENSG00000205867","KRTAP5-2",0,0,0,0,0,0,0,0
"ENSG00000205869","KRTAP5-1",0,0,0,0,0,0,0,0
"ENSG00000205882","DEFB134",0,0,0,0,0,0,0,0
"ENSG00000205883","DEFB135",0,0,0,0,0,0,0,0
"ENSG00000205884","DEFB136",0,0,0,0,0,0,0,0
"ENSG00000205899","BHLHA9",0,0,0,0,0,0,0,0
"ENSG00000205916","DAZ4",0,0,0,0,0,0,0,0
"ENSG00000205922","ONECUT3",1,0,0,0,0,0,0,1
"ENSG00000205923","CEMP1",0,0,0,7,5,0,0,1
"ENSG00000205927","OLIG2",0,1,0,1,0,0,1,0
